BIG game-to-pts

=====
1, 4
2, 5
3, 10
4, 10
5, 4
6, 7
7, 7
8, 10
9, 6
10, 2
11, 9
12, 6
13, 10
14, 2
15, 7
16, 3
17, 8
18, 0
19, 0
20, 3
21, 3
22, 1
23, 1
24, 1
25, 0
26, 10
27, 10
28, 10
29, 0
30, 6
31, 7
32, 4
33, 7
34, 10
35, 2
36, 6
37, 4
38, 0
39, 8
40, 7
41, 2
42, 3
43, 2
44, 0
45, 0
46, 0
47, 0
48, 10
49, 5
50, 5
51, 1
52, 6
53, 3
54, 5
55, 0
56, 4
57, 7
58, 1
59, 5
60, 4
61, 2
62, 1
63, 0
64, 2
65, 0
66, 0
67, 10
68, 10
69, 10
70, 6
71, 9
72, 4
73, 4
74, 10
75, 10
76, 10
77, 6
78, 4
79, 5
80, 4
81, 2
82, 4
83, 2
84, 0
85, 1
86, 1
87, 0
88, 6
89, 3
90, 10
91, 3
92, 2
93, 8
94, 5
95, 10
96, 1
97, 1
98, 10
99, 7
100, 3
101, 5
102, 3
103, 6
104, 3
105, 2
106, 3
107, 2
108, 0
109, 0
110, 10
111, 10
112, 9
113, 5
114, 2
115, 3
116, 6
117, 10
118, 6
119, 5
120, 5
121, 2
122, 1
123, 7
124, 1
125, 3
126, 7
127, 7
128, 2
129, 3
130, 0
131, 0
132, 0
133, 0
134, 0
135, 10
136, 10
137, 10
138, 10
139, 2
140, 9
141, 10
142, 10
143, 1
144, 0
145, 0
146, 10
147, 0
148, 1
149, 1
150, 3
151, 6
152, 5
153, 1
154, 1
155, 0
156, 0
157, 0
158, 10
159, 10
160, 7
161, 10
162, 10
163, 10
164, 4
165, 5
166, 4
167, 2
168, 0
169, 4
170, 4
171, 3
172, 3
173, 3
174, 1
175, 0
176, 1
177, 1
178, 0
179, 10
180, 10
181, 4
182, 3
183, 0
184, 2
185, 4
186, 10
187, 9
188, 6
189, 8
190, 3
191, 3
192, 4
193, 2
194, 0
195, 1
196, 1
197, 0
198, 0
199, 6
200, 10
201, 9
202, 1
203, 10
204, 10
205, 6
206, 2
207, 6
208, 8
209, 1
210, 3
211, 4
212, 0
213, 3
214, 1
215, 0
216, 0
=====
